reflectance_date,km,+m,aerosol,blue,green,red,rojo 1,rojo 2,rojo 3,NIR,rojo 4,SWIR1,SWIR2,scc_date,SSC,SSC2,SSC4,SSC_median4,SSC_median2,time_diff,RANS,VNES,NIR/RED,NDTI,modelo_rans
2026-02-04,19,940,0.037216,0.055384003,0.075044,0.08852801,0.094752006,0.073456004,0.077852,0.065363996,0.062104,0.009244001,0.008436,2026-02-04,375.6735514285714,358.4480666666666,364.0001818181818,369.0069,365.7773,0 days,0.5095761619345642,0.8233245157839564,0.738342542659662,0.0824347026120178,6.478497751561665
2026-02-04,14,800,0.06186,0.081332,0.105108,0.119244,0.122084,0.08629999,0.091423996,0.075196005,0.068944,0.015708,0.016004002,2026-02-04,334.4042673913044,302.3610833333333,314.0596727272727,303.0707,295.25935,0 days,0.4712645948083042,0.7671598083091318,0.6306061940223407,0.0630081300813008,5.750955345098918
2026-02-24,0,500,0.056212,0.074788004,0.095308,0.10812399,0.116876,0.096712,0.100776,0.086192,0.085628,0.032952,0.031828,2026-02-25,308.9670666666668,310.19236,297.4727,300.0777,301.247,1 days,0.452748403317141,0.7250647597121767,0.7971588913801646,0.0629988921604709,5.399330091253006
2026-02-24,19,800,0.05534,0.07526,0.09391999,0.106932,0.114428006,0.095075995,0.100676,0.086619996,0.08474,0.038556,0.037003998,2026-02-25,508.7766428571428,329.8642333333333,332.06733,327.52525,327.52525,1 days,0.4416051469469723,0.7026822603262578,0.8100474694198182,0.0647840730878494,5.187717981295046
2026-02-24,19,940,0.056479998,0.076263994,0.094392,0.107776,0.11545999,0.095328,0.09996,0.085559994,0.084756,0.039244,0.038032,2026-02-25,357.422565,338.7462428571429,351.09767,346.60675,332.8598,1 days,0.4381373660851193,0.6997923991712718,0.7938687091745843,0.0662023663487792,5.121864302561328
2026-02-24,14,800,0.07106,0.089668006,0.10671199,0.120008,0.1245,0.093308,0.0953,0.082684,0.080224,0.039276,0.038207997,2026-02-25,429.4401894736843,312.7323,326.7330777777777,324.769,314.474,1 days,0.4253267254578414,0.6865761942059976,0.6889874008399439,0.0586450713940133,4.878588315453227
2026-02-24,1,0,0.054804,0.074232005,0.093144,0.106176,0.11462,0.093779996,0.097600006,0.084544,0.081240006,0.031444002,0.029508,2026-02-25,276.5305476190476,263.87949375,272.6450852941177,262.0436,260.5574,1 days,0.4551268513729025,0.7286515981449352,0.7962628089210366,0.0653822998193859,5.444497176599125
2026-02-24,17,600,0.0725,0.09592001,0.11101999,0.124092,0.12935199,0.09684799,0.099648,0.087919995,0.08608,0.043387994,0.041244,2026-02-25,553.4994272727272,329.3275166666667,329.8276,316.192,316.31945,1 days,0.4210062266296556,0.6778690197793401,0.7085065515907553,0.0555990785497583,4.796541394631155
2026-02-24,18,200,0.058792,0.077388,0.094336,0.1084,0.115375996,0.093932,0.096687995,0.08358801,0.083024,0.038756,0.038312003,2026-02-25,357.1569655172414,329.4019125,330.8407769230769,337.1756,333.78705,1 days,0.4355642368929283,0.6973183831726961,0.7711071033210333,0.0693710046563017,5.073000193232241
2026-02-24,3,500,0.061,0.080047995,0.09916399,0.111163996,0.119212,0.09572001,0.09908,0.085208,0.082651995,0.034780003,0.032812,2026-02-25,327.4587181818182,281.8108714285714,298.1576035714286,294.445,278.21495,1 days,0.4431016189722049,0.7120963395886541,0.7665071701812519,0.0570537769519649,5.216136209525018
2026-02-24,1,900,0.0583,0.078216,0.097412,0.109415986,0.11858399,0.097427994,0.102336004,0.08853201,0.08685599,0.034151997,0.032348,2026-02-25,305.7488285714286,273.8699999999999,277.8676749999999,273.05675,271.1099,1 days,0.4498041228074897,0.7192666517484856,0.8091323145413138,0.0580384996835003,5.343417762732651


