fecha,estacion,SSC,NIR
2023-02-20,4,349.65903,0.06976386694347411
2023-02-20,5,319.64853,0.06621986943757543
2023-02-20,6,300.51083,0.06395986173798238
2023-02-20,7,305.32068,0.06452786614989643
2023-02-20,8,326.55838,0.06703586687734264
2023-02-20,9,324.15347,0.06675186644276439
2023-02-20,10,357.4157,0.07067986698126355
2023-02-20,11,357.1786,0.07065186738749973
2023-02-20,12,345.52667,0.06927586862510304
2023-02-20,13,387.6295,0.07424787257409678
2023-02-20,14,408.15594,0.0766718792439283
2023-02-20,15,376.45172,0.07292786709463178
2023-02-20,16,386.85046,0.07415587424627834
2023-02-25,1,384.2423,0.07384787162936143
2023-02-25,2,377.63727,0.07306787096804669
2023-02-25,3,358.77063,0.07083987326375359
2023-02-25,4,365.545,0.07163987161046673
2023-02-25,5,344.8154,0.06919187338656917
2023-02-25,6,307.99655,0.06484386477058283
2023-02-25,7,291.94122,0.06294786005635346
2023-02-25,8,294.7865,0.06328386462887253
2023-02-25,9,338.8878,0.06849187173328232
2023-02-25,10,353.58817,0.07022786662226412
2023-02-25,11,341.36044,0.06878387053346843
2023-02-25,12,382.31165,0.07361987746782586
2023-02-25,13,399.38306,0.0756358730181224
2023-02-25,14,400.22986,0.07573587325430622
2023-02-25,15,394.74258,0.07508786983436427
2023-02-25,16,378.51797,0.07317187452025159
2023-03-22,4,811.94794,0.12435645100720596
2023-03-22,6,820.78406,0.1253999253659078
2023-03-22,8,959.0077,0.14172302012994836
2023-03-22,9,891.23773,0.13371993438813035
2023-03-22,10,887.1053,0.13323192780332502
2023-03-22,11,968.4952,0.14284341720221352
2023-03-27,4,809.8526,0.12410900828769082
2023-03-27,6,705.9581,0.1118399075104098
2023-03-27,7,787.5279,0.12147264164535107
2023-03-27,8,749.24646,0.1169519129709801
2023-03-27,9,894.0604,0.13405326890238287
2023-03-27,10,797.75116,0.12267992602722255
2023-03-27,11,735.90094,0.1153759149171349
2023-03-27,12,758.4738,0.1180415872498518
2023-03-27,13,849.7869,0.12882492636968912
2023-03-27,14,895.8005,0.1342587606489387
2023-03-27,15,847.3171,0.12853326295055018
2023-03-27,16,842.6016,0.12797640051110182
2023-04-01,8,828.123,0.12626659486678052
2023-04-01,8,847.23645,0.12852373883736146
2023-04-01,10,863.4319,0.13043629059114453
2023-04-01,10,860.13525,0.13004698286958638
2023-04-01,11,790.23157,0.1217919232213586
2023-04-01,11,813.1967,0.12450391947075926
2023-04-01,12,931.884,0.13851993037300514
2023-04-01,12,936.2196,0.1390319296927957
2023-04-01,13,1017.01556,0.14857327957789226
2023-04-01,13,1049.9137,0.15245828402995756
2023-04-01,14,868.47577,0.13103193087371487
2023-04-01,14,826.81323,0.1261119216153085
2023-06-10,7,731.2944,0.11483191977307458
2023-06-10,9,736.10425,0.11539992418498864
2023-06-10,11,838.262,0.12746392882363916
2023-06-10,12,886.56335,0.1331679278883512
2023-06-20,1,863.66595,0.13046393000455836
2023-06-20,2,817.67914,0.12503325940779264
2023-06-20,4,809.3353,0.1240479193384963
2023-06-20,5,775.0569,0.1199999173356574
2023-06-20,6,766.7921,0.11902391125156178
2023-06-20,7,794.09296,0.12224792217270233
2023-06-20,8,673.21826,0.1079735970089679
2023-06-20,9,584.5949,0.09750789444472001
2023-06-20,10,622.667,0.10200390175697156
2023-06-20,11,801.2738,0.12309592134133526
2023-06-20,12,715.1459,0.11292491243484279
2023-06-20,13,323.78088,0.06670786657502735
2023-06-20,14,329.8778,0.06742786355187425
2023-06-20,15,170.03607,0.04855184707568984
2023-06-20,16,173.93134,0.0490118469812163
2023-07-10,1,623.00574,0.10204390421328345
2023-07-10,2,461.74133,0.0829998807271628
2023-07-10,3,732.64923,0.11499191424637281
2023-07-10,4,570.4026,0.09583189851652933
2023-07-10,5,182.50093,0.050023846301006855
2023-07-10,6,336.95706,0.06826386694347412
2023-07-10,7,372.96298,0.07251587509654014
2023-07-10,8,193.27223,0.05129584977763292
2023-07-10,9,447.21027,0.08128387998082187
2023-07-10,10,552.0778,0.09366788773709905
2023-07-10,11,772.16364,0.11965824671291148
2023-07-10,12,772.0084,0.11963991412355722
2023-07-10,13,359.41415,0.07091586777484123
2023-07-10,14,238.86389,0.056679856352990915
2023-07-10,15,595.02747,0.09873989664595335
2023-07-10,16,238.45743,0.05663185671199034
2023-07-20,9,838.12646,0.12744792264507002
2023-07-20,10,851.06555,0.12897592460067217
2023-07-20,11,879.6535,0.13235193044858398
2023-07-20,12,924.65796,0.1376665934496775
2023-07-20,13,943.19727,0.1398559361264434
2023-07-20,14,958.77844,0.14169594637682187
2023-07-20,15,997.18915,0.146231940793436
2023-10-13,1,572.8414,0.09611990108620948
2023-10-13,3,681.2994,0.10892791433139899
2023-10-13,4,721.20044,0.11363990467620377
2023-10-13,5,720.79407,0.11359191566347583
2023-10-13,7,709.7179,0.11228390950380139
2023-10-13,8,749.7236,0.1170082593487467
2023-10-13,9,769.1632,0.11930391899839159
2023-10-13,10,804.6948,0.12349991379289983
2023-10-13,11,732.3105,0.1149519129709801
2023-10-13,12,719.6424,0.11345591274424362
2023-10-13,13,699.86127,0.11111992116183553
2023-10-13,14,686.2447,0.10951191429360958
2023-10-13,15,732.71704,0.11499992205933411
2023-11-27,1,355.45117,0.07044787186554527
2023-11-27,2,333.94247,0.0679078682283142
2023-11-27,3,355.1463,0.0704118691824969
2023-11-27,4,446.90543,0.08124788084053104
2023-11-27,5,386.61337,0.0741278758334337
2023-11-27,6,460.6913,0.08287588067047867
2023-11-27,7,385.96982,0.07405187777958853
2023-11-27,8,362.29327,0.07125586857786627
2023-11-27,9,397.55402,0.07541987817637737
2023-11-27,10,382.04065,0.073587874558041
2023-11-27,11,376.85825,0.07297587500206662
2023-11-27,12,430.34204,0.07929187834642973
2023-11-27,13,422.17886,0.07832787276304384
2023-11-27,14,376.04532,0.0728798745391463
2023-11-27,15,511.05896,0.08882389424632557
2023-11-27,16,304.8126,0.06446786600818613
2023-12-12,1,146.52893,0.04577584382580025
2023-12-12,2,166.8521,0.04817584595145477
2023-12-12,3,131.7269,0.04402784371243201
2023-12-12,4,171.76352,0.048755844959482667
2023-12-12,5,125.86704,0.04333584160567219
2023-12-12,6,143.92079,0.045467843570721714
2023-12-12,7,130.74461,0.043911843202274925
2023-12-12,8,159.53577,0.04731184650884863
2023-12-12,9,149.20482,0.04609184480832501
2023-12-12,10,136.26575,0.04456384521456121
2023-12-12,11,182.22997,0.049991848114898714
2023-12-12,12,179.14761,0.04962784631045421
2023-12-12,13,174.06683,0.04902784725518955
2023-12-12,14,178.13147,0.04950784838887196
2023-12-12,15,170.74738,0.04863584703790042
2023-12-12,16,177.82661,0.04947184688674276
2024-01-01,1,304.9142,0.0644798641470575
2024-01-01,2,249.80455,0.05797185987685375
2024-01-01,3,241.60751,0.057003855701123526
2024-01-01,4,173.89746,0.049007846027033605
2024-01-01,5,166.71661,0.04815984567748152
2024-01-01,6,162.41489,0.04765184731187368
2024-01-01,7,171.66191,0.04874384563969211
2024-01-01,8,179.79117,0.049703845545218575
2024-01-01,9,193.5432,0.05132784914466024
2024-01-01,10,194.45775,0.05143585010829029
2024-01-01,11,245.33342,0.05744385555941322
2024-01-01,12,238.66064,0.05665585417065227
2024-01-01,13,234.86699,0.05620785476583554
2024-01-01,14,228.60066,0.05546785183715597
2024-01-01,15,231.41205,0.05579985427457316
2024-01-01,16,228.22809,0.05542385433125728
2024-01-06,1,391.99902,0.07476387757174675
2024-01-06,2,349.65903,0.06976386694347411
2024-01-06,3,352.87686,0.07014386666005352
2024-01-06,4,354.73987,0.07036387308425386
2024-01-06,5,398.40076,0.07551987132704613
2024-01-06,6,345.28958,0.06924787021225842
2024-01-06,7,332.11337,0.06769186630105409
2024-01-06,8,349.9639,0.0697998696265225
2024-01-06,9,372.35327,0.07244387327320093
2024-01-06,10,372.421,0.07245187163880878
2024-01-06,11,391.35544,0.07468787597514401
2024-01-06,12,349.25256,0.06971586612155438
2024-01-06,13,402.29605,0.07597987359441094
2024-01-06,14,396.77496,0.07532787748672057
2024-01-06,15,353.79144,0.07025187116644112
2024-01-06,16,375.50336,0.07281587344325328
2024-01-11,1,242.28494,0.05708385470915142
2024-01-11,2,242.35268,0.05709185425567845
2024-01-11,3,196.72719,0.051703852630733654
2024-01-11,4,206.07582,0.05280785027834265
2024-01-11,5,215.89871,0.05396785419899433
2024-01-11,6,167.25858,0.0482238479542937
2024-01-11,7,179.99442,0.04972784772755723
2024-01-11,8,215.76318,0.05395184920134436
2024-01-11,9,201.0289,0.05221184981542233
2024-01-11,10,195.37227,0.0515438475291628
2024-01-11,11,217.35518,0.05413985153484066
2024-01-11,12,274.15845,0.060847858639250456
2024-01-11,13,245.73988,0.0574918552004138
2024-01-11,14,244.68987,0.05736785750556804
2024-01-11,15,290.48474,0.06277586153958796
2024-01-11,16,300.64633,0.06397586319287481
2024-01-16,1,216.84709,0.05407985021221118
2024-01-16,2,219.55687,0.05439985332983782
2024-01-16,3,201.09666,0.05221985172378773
2024-01-16,4,189.24147,0.0508198495981332
2024-01-16,5,184.3978,0.05024785131755153
2024-01-16,6,129.93169,0.04381584392027379
2024-01-16,7,155.30177,0.04681184532792945
