K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
19;800;1.440931935;705.5336
19;800;0.9170679;676.2054
19;940;11.41667946;655.2577
19;940;11.3672786;651.8094
19;940;11.39507986;602.2799
19;940;11.24909994;618.7867
19;940;11.00431062;617.4206
19;940;11.09085401;618.9669
19;940;10.76998649;607.1355
19;940;10.6915221;592.2155
19;940;10.8602783;576.2706
19;940;10.70783016;607.6212
19;940;10.27775896;613.0578
19;940;9.881767067;592.7479
19;940;9.144652437;603.9261
19;940;8.561506899;612.02
19;940;7.631028123;602.877
19;940;6.739404263;634.0654
19;940;5.722033251;614.5854
19;940;4.869837855;561.9877
19;940;4.079665216;592.794
19;940;3.671829426;599.1699
19;940;3.011825334;576.4614
19;940;2.271140062;567.319
19;940;1.568557402;580.4956
19;940;0.910910909;598.6097
